task,disease_label,rep,fold,view,SampleKey,y_true,n_cells,attn_entropy,attn_top1,attn_top5_sum,attn_eff_n
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2025Jan_Pancreas-B2,1,81,3.296582228508009,0.1005291963558472,0.3523895864612953,20.74333227040256
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2025Jan_Pancreas-B6,1,73,3.261650599049702,0.1025882422701551,0.4001292601844988,18.989570075159584
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2026Apr-2_Control-20260427S1,0,90,3.84783397171793,0.0590761918595958,0.2434315348516557,37.338424236767246
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2026Apr-2_Control-20260427S4,0,80,3.5357169014240637,0.072869635301443,0.2854998595144107,27.89027677471509
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2026Apr-2_Control-20260427S6,0,94,3.724724135007064,0.0614533796823052,0.2645536225114331,32.37186587414116
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2026Apr_Control-20260401S11,0,55,3.3649081997486348,0.0740830995621749,0.3411979407914789,23.61400306982808
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2026Apr_Control-20260401S4,0,58,3.534793754609946,0.0844883841790473,0.2870774931277444,27.286769309345207
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2026Apr_Control-20260401S8,0,85,3.98957654930521,0.0478124089967174,0.187354286243496,45.27077844144637
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2024Dec_Control-S3,0,101,3.827429145956809,0.0641718557627113,0.2511470485889393,33.6788949518357
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2024Dec_Control-S5,0,99,3.5637317832548643,0.0658774238943808,0.3036955240738564,26.200780695093467
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,20250430S41,1,96,3.5166185576998226,0.1068192979634708,0.3980194649516977,21.35316534835534
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,20250430S45,1,103,3.0822711928137023,0.156624588595042,0.5656506683940443,12.680470109919987
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,20250430S49,1,73,3.017758046385702,0.1350441447776874,0.5504213362126871,13.483669008465746
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2025Jan_Pancreas-B11,1,74,3.42131573553032,0.0945912392800667,0.3640291133297554,22.330847156775416
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2025Jan_Pancreas-B2,1,81,3.475074765279658,0.1068483006245127,0.3584975887842676,22.651240923582595
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2025Jan_Pancreas-B6,1,73,3.500496373287667,0.0673770032570338,0.2756890856745922,27.49417135707766
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2026Apr-2_Control-20260427S1,0,90,3.901268985220692,0.0478397780081518,0.2175081457682417,39.55210335777965
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2026Apr-2_Control-20260427S4,0,80,3.818289993796377,0.048502503321298,0.2203612967036292,37.18173211669903
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2026Apr-2_Control-20260427S6,0,94,4.027245803741119,0.047100087151451,0.1940460704762437,45.32134208790577
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2026Apr_Control-20260401S11,0,55,3.3208712104761777,0.0944311035207369,0.3586835647721114,21.20353999533136
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2026Apr_Control-20260401S4,0,58,3.2855512276007266,0.0832384716257675,0.3878892725268967,20.27547531211904
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,fp,2026Apr_Control-20260401S8,0,85,3.9116512621130783,0.0445800579691427,0.2095153774707917,39.47612942071269
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,ch,2024Dec_Control-S3,0,101,3.521896775749377,0.1315159085038564,0.3409530455497079,22.651527943716683
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,ch,2024Dec_Control-S5,0,99,3.3146198828800184,0.1019435595528905,0.4083570375247753,19.293496556066216
